State,},DC,ToCoda,DC.Coda,Coda,Fine,DC.Fine,Segno,DS.Fine,DS,DS.Coda,:|,{,[,],|:,bar,X,ts,bo,&,$,S,L,E,LEND,ND,
I109,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,s173,r0,r0,r0,.,.,.,.,.,.,
I110,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I111,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I112,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I113,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I114,.,.,.,.,.,.,.,.,.,.,.,.,.,s174,.,.,.,.,.,.,.,.,.,.,.,.,.,
I115,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0s61,r0s62,.,r0s63,r0s64,r0s65,.,.,.,s115,.,.,
I116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s176,s177,.,s178,s179,s180,.,.,.,s175,.,.,
I117,.,.,.,.,.,.,.,.,.,.,.,s181,.,s183,.,s61,s62,.,s63,s64,s65,.,.,.,s115,.,s182,
I118,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I119,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I120,.,.,.,.,.,.,.,.,.,.,.,.,.,s184,.,.,.,.,.,.,.,.,.,.,.,.,.,
I121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s11,s12,.,s13,s14,s15,.,.,.,s185,.,.,
I122,.,.,.,r0,.,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I123,.,.,.,.,.,.,.,.,.,.,.,.,.,s186,.,.,.,.,.,.,.,.,.,.,.,.,.,
I124,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0s74,r0s75,.,r0s76,r0s77,r0s78,.,.,.,s124,.,.,
I125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s187,.,.,
I126,.,.,.,.,.,.,.,.,.,.,.,s193,.,s195,.,s74,s75,.,s76,s77,s78,.,.,.,s124,.,s194,
I127,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,
I129,.,.,.,.,.,.,r0,.,.,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I130,.,.,.,.,.,.,.,.,.,.,.,.,.,s196,.,.,.,.,.,.,.,.,.,.,.,.,.,
I131,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0s83,r0s84,.,r0s85,r0s86,r0s87,.,.,.,s131,.,.,
I132,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s197,.,.,
I133,.,.,.,.,.,.,.,.,.,.,.,s203,.,s205,.,s83,s84,.,s85,s86,s87,.,.,.,s131,.,s204,
I134,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I135,.,.,.,.,.,.,.,.,s206,.,.,.,.,.,.,s136,s137,.,s138,s139,s140,.,.,.,s207,.,.,
I136,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s209,s210,.,s211,s212,s213,.,.,.,s208,.,.,
I137,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,s214,r0,r0,r0,.,.,.,.,.,.,
I138,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I139,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I140,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I141,s215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s11,s12,.,s13,s14,s15,.,.,.,s29,.,.,
I142,.,.,.,.,.,.,.,.,.,.,s216,.,.,.,.,s143,s144,.,s145,s146,s147,.,.,.,s217,.,.,
I143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s219,s220,.,s221,s222,s223,.,.,.,s218,.,.,
I144,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,s224,r0,r0,r0,.,.,.,.,.,.,
I145,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I146,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I147,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I148,.,.,r0,.,.,r0,.,.,.,r0,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I149,.,.,.,.,.,.,.,.,.,.,.,.,.,s225,.,.,.,.,.,.,.,.,.,.,.,.,.,
I150,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0s94,r0s95,.,r0s96,r0s97,r0s98,.,.,.,s150,.,.,
I151,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s226,.,.,
I152,.,.,.,.,.,.,.,.,.,.,.,s232,.,s234,.,s94,s95,.,s96,s97,s98,.,.,.,s150,.,s233,
